PartialNodeId,SubIndex,NodeValueServerTime,NodeValueSourceTime,NodeValue,NodeValueQuality,NodeValueType
2,-1,131757408003414752,131757408004259484,892.5,1,11
2,-1,131757408034040640,131757408035276068,894.5,1,11
2,-1,131757408064666326,131757408066333501,895.2,1,11
2,-1,131757408090916973,131757408092958910,882.6,1,11
2,-1,131757408122636769,131757408123991236,887.1,1,11
2,-1,131757408155449852,131757408155050502,900.5,1,11
2,-1,131757408184981759,131757408186083963,877.8,1,11
2,-1,131757408211232440,131757408212685965,898,1,11
2,-1,131757408253059215,131757408243710906,813.8,1,11
2,-1,131757408282591181,131757408274755941,863.1,1,11
2,-1,131757408313998278,131757408305772433,846.6,1,11
2,-1,131757408345717784,131757408336804675,824.3,1,11
2,-1,131757408371968554,131757408363417988,829.5,1,11
2,-1,131757408403688066,131757408394479672,816.1,1,11
2,-1,131757408434313773,131757408425538750,807.2,1,11
2,-1,131757408464939479,131757408456558750,828.8,1,11
2,-1,131757408492283857,131757408483163989,856.3,1,11
2,-1,131757408524003366,131757408514209795,853.8,1,11
2,-1,131757408553535307,131757408545229408,805.4,1,11
2,-1,131757408585254902,131757408576275789,845.4,1,11
2,-1,131757408611505562,131757408602879531,849.5,1,11
2,-1,131757408642131355,131757408633904942,828.9,1,11
2,-1,131757408673850806,131757408664944809,839.6,1,11
2,-1,131757408704476591,131757408695977387,820.2,1,11
2,-1,131757408731821023,131757408722592483,872.5,1,11
2,-1,131757408762446774,131757408753626746,817.3,1,11
2,-1,131757408793072518,131757408784638937,858.3,1,11
2,-1,131757408824792031,131757408815675832,861.5,1,11
2,-1,131757408856511595,131757408846695086,886.4,1,11
2,-1,131757408882762296,131757408873297530,880.3,1,11
2,-1,131757408913387924,131757408904299972,814.1,1,11
2,-1,131757408945107721,131757408935329244,810.3,1,11
2,-1,131757408974795996,131757408966354474,807.1,1,11
2,-1,131757409002140220,131757408992960998,804.9,1,11
2,-1,131757409032766125,131757409023975822,808.9,1,11
2,-1,131757409063391653,131757409055034844,807.4,1,11
2,-1,131757409095111313,131757409086054241,798.6,1,11
2,-1,131757409125736958,131757409117069089,787.9,1,11
2,-1,131757409151987584,131757409143665673,796,1,11
2,-1,131757409183707230,131757409174682692,796.8,1,11
2,-1,131757409214333159,131757409205701973,795.7,1,11
2,-1,131757409246052419,131757409236731740,799.8,1,11
2,-1,131757409272303103,131757409263335435,806.2,1,11
2,-1,131757409304022701,131757409294344031,797.6,1,11
2,-1,131757409334648380,131757409325400728,802.5,1,11
2,-1,131757409365274196,131757409356445517,803.7,1,11
2,-1,131757409391524723,131757409383034301,792.5,1,11
2,-1,131757409423244328,131757409414048591,788.4,1,11
2,-1,131757409453870158,131757409445072132,790.5,1,11
2,-1,131757409484495806,131757409476144064,795.6,1,11
2,-1,131757409516215374,131757409507157993,791.2,1,11
2,-1,131757409542466161,131757409533767177,777.3,1,11
2,-1,131757409574185454,131757409564802803,807.4,1,11
2,-1,131757409604811311,131757409595830987,803.3,1,11
2,-1,131757409634343219,131757409626870517,823.2,1,11
2,-1,131757409662781460,131757409653478064,802.2,1,11
2,-1,131757409692313429,131757409684491322,811.6,1,11
2,-1,131757409724033031,131757409715561351,804.8,1,11
2,-1,131757409755752478,131757409746587275,789.7,1,11
2,-1,131757409782003145,131757409773170214,781.6,1,11
2,-1,131757409813722716,131757409804204398,805,1,11
2,-1,131757409844348416,131757409835240279,864.8,1,11
2,-1,131757409874974225,131757409866285665,867.6,1,11
2,-1,131757409905599897,131757409897311928,876.5,1,11
2,-1,131757409934038187,131757409923907272,873,1,11
2,-1,131757409963570159,131757409954961999,801.8,1,11
2,-1,131757409995289651,131757409985986266,793.1,1,11
2,-1,131757410025915426,131757410017025887,774.8,1,11
2,-1,131757410052166063,131757410043656152,777,1,11
2,-1,131757410083885500,131757410074689090,812.6,1,11
2,-1,131757410114511398,131757410105703416,826.4,1,11
2,-1,131757410145137054,131757410136756961,819.5,1,11
2,-1,131757410172481475,131757410163349286,875.8,1,11
2,-1,131757410202013533,131757410194400298,879,1,11
2,-1,131757410234826760,131757410225453752,888.3,1,11
2,-1,131757410266546406,131757410256480468,878.9,1,11
2,-1,131757410297172068,131757410287510813,819.4,1,11
2,-1,131757410322328915,131757410314110689,806.9,1,11
2,-1,131757410352954786,131757410345143412,797,1,11
2,-1,131757410384674370,131757410376143239,783.4,1,11
2,-1,131757410416393732,131757410407172145,765.5,1,11
2,-1,131757410442644406,131757410433764664,773,1,11
2,-1,131757410473270250,131757410464788036,774.4,1,11
2,-1,131757410504989776,131757410495809548,809.8,1,11
2,-1,131757410535615459,131757410526902921,821.4,1,11
2,-1,131757410561866140,131757410553543010,801.8,1,11
2,-1,131757410593585662,131757410584602946,814.3,1,11
2,-1,131757410623742695,131757410615641411,807.1,1,11
2,-1,131757410654837106,131757410646666502,820.6,1,11
2,-1,131757410686556639,131757410677699763,811,1,11
2,-1,131757410713901208,131757410704323882,803.8,1,11
2,-1,131757410744526877,131757410735355286,817.6,1,11
2,-1,131757410776246421,131757410766365504,808.1,1,11
2,-1,131757410805778455,131757410797394638,811.6,1,11
2,-1,131757410833122771,131757410825088892,800.6,1,11
2,-1,131757410894374300,131757410887130318,807.3,1,11
2,-1,131757410923906279,131757410913732708,803.3,1,11
2,-1,131757410953438214,131757410944757309,883.7,1,11
2,-1,131757410985157744,131757410975789221,886.4,1,11
2,-1,131757411015783464,131757411006845695,873.3,1,11
2,-1,131757411047503148,131757411037867440,808.7,1,11
2,-1,131757411073753804,131757411064463677,806.5,1,11
2,-1,131757411103285726,131757411095496528,803.6,1,11
2,-1,131757411135005187,131757411126520083,811.3,1,11
2,-1,131757411165630996,131757411157538107,799.9,1,11
2,-1,131757411191881608,131757411184147901,795,1,11
2,-1,131757411223601083,131757411215199912,798.1,1,11
2,-1,131757411255320777,131757411246268248,804.1,1,11
2,-1,131757411285946480,131757411277293629,839.9,1,11
2,-1,131757411301910417,131757411303901418,889.5,1,11
2,-1,131757411334723735,131757411334921803,812.3,1,11
2,-1,131757411364255769,131757411365930406,860.5,1,11
2,-1,131757411395975350,131757411396951751,862.7,1,11
2,-1,131757411426601132,131757411428026082,871.4,1,11
2,-1,131757411451757925,131757411454595356,874.7,1,11
2,-1,131757411483477451,131757411485657749,857.8,1,11
2,-1,131757411514103120,131757411516727030,871.8,1,11
2,-1,131757411546916425,131757411547763352,875.3,1,11
2,-1,131757411573167109,131757411574342746,874.6,1,11
2,-1,131757411604886570,131757411605414560,866.6,1,11
2,-1,131757411634418700,131757411636464274,857,1,11
2,-1,131757411666138168,131757411667503232,836.8,1,11
2,-1,131757411692388736,131757411694102593,852.5,1,11
2,-1,131757411723014990,131757411725170213,825.5,1,11
2,-1,131757411754734072,131757411756203391,819.1,1,11
2,-1,131757411785359802,131757411787275721,830.3,1,11
2,-1,131757411815985557,131757411818339207,798.4,1,11
2,-1,131757411843330040,131757411844939514,814.3,1,11
2,-1,131757411872862030,131757411875956395,801.5,1,11
2,-1,131757411904581717,131757411906983281,810,1,11
2,-1,131757411937238687,131757411938000895,796.8,1,11
2,-1,131757411963645535,131757411964588366,803.9,1,11
2,-1,131757411994271204,131757411995589241,802,1,11
2,-1,131757412025990788,131757412026617627,809.7,1,11
2,-1,131757412055522784,131757412057613353,819.7,1,11
2,-1,131757412081773352,131757412084198980,815,1,11
2,-1,131757412113492951,131757412115219255,809.2,1,11
2,-1,131757412144118729,131757412146232508,816.3,1,11
2,-1,131757412175838170,131757412177272390,805.1,1,11
2,-1,131757412206620228,131757412208288815,808.8,1,11
2,-1,131757412232714622,131757412234871462,802.1,1,11
2,-1,131757412264590401,131757412265970961,797.9,1,11
2,-1,131757412296153637,131757412296998791,790.3,1,11
2,-1,131757412325685736,131757412328026358,783.6,1,11
2,-1,131757412353186417,131757412354632676,783.8,1,11
